pixel positions,wavelengths (AA)
202.0,5852.49
218.5,5881.9
253.0,5944.83
336.0,6096.16
361.0,6143.06
427.0,6266.5
462.5,6334.43
488.0,6382.99
498.0,6402.25
551.5,6506.53
599.0,6598.95
639.0,6678.28
658.5,6717.04
764.5,6929.47
782.0,6965.43
815.5,7032.41
832.5,7067.22
884.5,7173.94
919.0,7245.17
986.0,7383.98
1012.5,7438.9
1044.0,7503.87
1049.0,7514.65
1106.0,7635.11
1148.5,7724.21
1254.5,7948.18
1282.0,8006.16
1286.0,8014.79
1328.0,8103.69
1333.5,8115.31
1403.5,8264.52
1456.5,8377.61
1471.0,8408.21
1478.5,8424.65
1524.0,8521.44
1593.0,8667.94
